id,metadata
72,WHAT HAPPENS IF HUMANITIES BIG STORIES FALL APART?
73,DEATH OF ACCOUNTABILITY?
74,FRIENDSHIPS /  LOVE / DATING?
75,REPRODUCTION?
76,HOMOGENIZATION OF IDEAS AND CULTURE?
77,"SPEED OF INNOVATION BECOMES NUMBING?
"
78,"GENERALIZED NERVOUSNESS, ANXIETY AND DEPRESSION"
79,CONSENSUAL SELF KIDNAPPING? 
80,A HACK FOR OUR  MENTAL BANDWIDTH CEILING? 
81,SURVIVAL WILL REQUIRE MERGING WITH A.I?
82,CYBORG PEOPLE ?
83,"HUMAN CLONES?
"
84,LIFE EXTENSION ?
85,UPLOADING OUR MINDS?
86,"AI SUPREMACY & SELF PRESERVATION THE NEW LEVIATHAN?
"
87,AI-ROBOTS AS A NEW CLASS OF CITIZENS?
88,THE FERMI PARADOX?
89,THE FERMI PARADOX. AN ARGUMENT FOR THE SIMULATION?
90,ARE WE TRYING TO CREATE A NEW GOD?
91,"DIGITAL EVOLUTION? 
CONSCIOUSNESS SPREADS ACROSS THE UNIVERSE?
"
92,THE EVOLUTION OF TECHNOLOGY AND NATURE ARE ONE?
93,AI AS A MIRROR OF HUMANITY  
94,WE SHOULD GET LUCKY
